,Seed,Linkage Method,Distance Metric,Number of Clusters,Color Distribution Summary
78,19,average,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 4, 'red red red red red red': 4}}"
79,19,ward,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 4, 'red red red red red red': 4}}"
80,20,single,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red red red': 2}, 2: {'green green': 1, 'green green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red red': 0}}"
81,20,complete,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red red red': 2}, 2: {'green green': 1, 'green green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red red': 0}}"
82,20,average,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red red red': 2}, 2: {'green green': 1, 'green green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red red': 0}}"
83,20,ward,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red red red': 2}, 2: {'green green': 1, 'green green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red red': 0}}"
84,21,single,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 13, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
85,21,complete,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 13, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
86,21,average,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 13, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
87,21,ward,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 2, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 13, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
88,22,single,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green red red red red': 3, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 2}, 2: {'green green': 1, 'green green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
89,22,complete,Jaccard,2,"{1: {'green green': 1, 'green green green green green': 3, 'green red red red red': 3, 'green red red red red red': 1, 'red green green green green green': 5, 'red red': 2, 'red red red': 2, 'red red red red': 2}}"
90,22,average,Jaccard,2,"{1: {'green green': 1, 'green green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0}, 2: {'green green': 0, 'green green green green green': 0, 'green red red red red': 3, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 2}}"
91,22,ward,Jaccard,2,"{1: {'green green': 1, 'green green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0}, 2: {'green green': 0, 'green green green green green': 0, 'green red red red red': 3, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 2}}"
92,23,single,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 6, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 1}, 2: {'green green green': 1, 'green green green green': 2, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
93,23,complete,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 6, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 1}, 2: {'green green green': 1, 'green green green green': 2, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
94,23,average,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 2, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 6, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 1}}"
95,23,ward,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 6, 'red green green green green green': 0, 'red red': 2, 'red red red': 2, 'red red red red': 1}, 2: {'green green green': 1, 'green green green green': 2, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
96,24,single,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 2, 'red red red red red': 1}}"
97,24,complete,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 2, 'red red red red red': 1}}"
98,24,average,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 2, 'red red red red red': 1}}"
99,24,ward,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 2, 'red red red red red': 1}}"
100,25,single,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 3, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 8, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
101,25,complete,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green red red red red red': 8, 'red green green green green': 1, 'red green green green green green': 3, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
102,25,average,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 3, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 8, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
103,25,ward,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 1, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 3, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red': 8, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
104,26,single,Jaccard,2,"{1: {'green red red red red red red red red': 0, 'red green green': 12, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0, 'red red red red red red red red': 0}, 2: {'green red red red red red red red red': 1, 'red green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 6, 'red red red red red': 3, 'red red red red red red': 2, 'red red red red red red red': 4, 'red red red red red red red red': 1}}"
105,26,complete,Jaccard,2,"{1: {'green red red red red red red red red': 0, 'red green green': 12, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0, 'red red red red red red red red': 0}, 2: {'green red red red red red red red red': 1, 'red green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 6, 'red red red red red': 3, 'red red red red red red': 2, 'red red red red red red red': 4, 'red red red red red red red red': 1}}"
106,26,average,Jaccard,2,"{1: {'green red red red red red red red red': 0, 'red green green': 12, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0, 'red red red red red red red red': 0}, 2: {'green red red red red red red red red': 1, 'red green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 6, 'red red red red red': 3, 'red red red red red red': 2, 'red red red red red red red': 4, 'red red red red red red red red': 1}}"
107,26,ward,Jaccard,2,"{1: {'green red red red red red red red red': 0, 'red green green': 12, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0, 'red red red red red red red red': 0}, 2: {'green red red red red red red red red': 1, 'red green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 6, 'red red red red red': 3, 'red red red red red red': 2, 'red red red red red red red': 4, 'red red red red red red red red': 1}}"
108,27,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 14}, 2: {'green green': 1, 'green green green': 1, 'green green green green': 3, 'green green green green green': 2, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 1, 'green red red': 0}}"
109,27,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 1, 'green green green green': 3, 'green green green green green': 2, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 1, 'green red red': 14}}"
110,27,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 14}, 2: {'green green': 1, 'green green green': 1, 'green green green green': 3, 'green green green green green': 2, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 1, 'green red red': 0}}"
111,27,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 14}, 2: {'green green': 1, 'green green green': 1, 'green green green green': 3, 'green green green green green': 2, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 1, 'green red red': 0}}"
112,28,single,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 17, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 1, 'red green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 4, 'red red red red red': 1, 'red red red red red red red': 3}}"
113,28,complete,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 17, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 1, 'red green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 4, 'red red red red red': 1, 'red red red red red red red': 3}}"
114,28,average,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 17, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 1, 'red green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 4, 'red red red red red': 1, 'red red red red red red red': 3}}"
115,28,ward,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 17, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 1, 'red green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 4, 'red red red red red': 1, 'red red red red red red red': 3}}"
116,29,single,Jaccard,2,"{1: {'green green green': 1, 'green red red red red red red red': 0, 'red green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red red': 1, 'red green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 2, 'red red red red red': 3, 'red red red red red red': 1, 'red red red red red red red': 2}}"
117,29,complete,Jaccard,2,"{1: {'green green green': 1, 'green red red red red red red red': 1, 'red green green green': 8, 'red red': 3, 'red red red': 2, 'red red red red': 2, 'red red red red red': 3, 'red red red red red red': 1, 'red red red red red red red': 2}}"
118,29,average,Jaccard,2,"{1: {'green green green': 1, 'green red red red red red red red': 0, 'red green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red red': 1, 'red green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 2, 'red red red red red': 3, 'red red red red red red': 1, 'red red red red red red red': 2}}"
119,29,ward,Jaccard,2,"{1: {'green green green': 1, 'green red red red red red red red': 0, 'red green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red red': 1, 'red green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 2, 'red red red red red': 3, 'red red red red red red': 1, 'red red red red red red red': 2}}"
120,30,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 8, 'red green green green green green green': 0, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 4, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red': 0, 'red red red red': 0}}"
121,30,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 4, 'green red red red': 1, 'green red red red red': 8, 'red green green green green green green': 2, 'red red red': 2, 'red red red red': 1}}"
122,30,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 8, 'red green green green green green green': 0, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 4, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red': 0, 'red red red red': 0}}"
123,30,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 1, 'green red red red red': 8, 'red green green green green green green': 0, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 4, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 2, 'red red red': 0, 'red red red red': 0}}"
124,31,single,Jaccard,2,"{1: {'green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red red': 4, 'red red red red red red': 3}}"
125,31,complete,Jaccard,2,"{1: {'green green green': 2, 'green red red red red red red': 3, 'red green green green green': 8, 'red red': 1, 'red red red': 1, 'red red red red red': 4, 'red red red red red red': 3}}"
126,31,average,Jaccard,2,"{1: {'green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red red': 4, 'red red red red red red': 3}}"
127,31,ward,Jaccard,2,"{1: {'green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red red': 4, 'red red red red red red': 3}}"
128,32,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green green green': 0, 'red red red red': 2, 'red red red red red': 1}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green green': 6, 'red red red red': 0, 'red red red red red': 0}}"
129,32,complete,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green green green': 0, 'red red red red': 2, 'red red red red red': 1}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green green': 6, 'red red red red': 0, 'red red red red red': 0}}"
130,32,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green green green': 0, 'red red red red': 2, 'red red red red red': 1}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green green': 6, 'red red red red': 0, 'red red red red red': 0}}"
131,32,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green green green': 0, 'red red red red': 2, 'red red red red red': 1}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green green': 6, 'red red red red': 0, 'red red red red red': 0}}"
132,33,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 13, 'red red': 1}, 2: {'green green': 1, 'green green green': 6, 'green green green green': 3, 'green green green green green': 1, 'green green green green green green green': 1, 'green green green green green green green green': 5, 'green red red': 0, 'red red': 0}}"
133,33,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 6, 'green green green green': 3, 'green green green green green': 1, 'green green green green green green green': 1, 'green green green green green green green green': 5, 'green red red': 13, 'red red': 1}}"
134,33,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 13, 'red red': 1}, 2: {'green green': 1, 'green green green': 6, 'green green green green': 3, 'green green green green green': 1, 'green green green green green green green': 1, 'green green green green green green green green': 5, 'green red red': 0, 'red red': 0}}"
135,33,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 13, 'red red': 1}, 2: {'green green': 1, 'green green green': 6, 'green green green green': 3, 'green green green green green': 1, 'green green green green green green green': 1, 'green green green green green green green green': 5, 'green red red': 0, 'red red': 0}}"
136,34,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 3, 'red red red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
137,34,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
138,34,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
139,34,ward,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
140,35,single,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
141,35,complete,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}, 2: {'green green green': 2, 'green green green green': 2, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0}}"
142,35,average,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
143,35,ward,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green green': 0, 'red red': 2, 'red red red': 1}}"
144,36,single,Jaccard,2,"{1: {'green green': 4, 'green green green': 2, 'green green green green': 3, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 2, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 5, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red red': 1, 'red red red red red': 2}}"
145,36,complete,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 5, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red red': 1, 'red red red red red': 2}, 2: {'green green': 4, 'green green green': 2, 'green green green green': 3, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 2, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
146,36,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 5, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red red': 1, 'red red red red red': 2}, 2: {'green green': 4, 'green green green': 2, 'green green green green': 3, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 2, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
147,36,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 5, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red red': 1, 'red red red red red': 2}, 2: {'green green': 4, 'green green green': 2, 'green green green green': 3, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 2, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
148,37,single,Jaccard,2,"{1: {'green green green': 0, 'green green green green green green': 0, 'green red red red': 3, 'green red red red red': 5, 'red green green green green green green': 0, 'red red red red': 1}, 2: {'green green green': 3, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red red': 0}}"
149,37,complete,Jaccard,2,"{1: {'green green green': 3, 'green green green green green green': 1, 'green red red red': 3, 'green red red red red': 5, 'red green green green green green green': 4, 'red red red red': 1}}"
150,37,average,Jaccard,2,"{1: {'green green green': 0, 'green green green green green green': 0, 'green red red red': 3, 'green red red red red': 5, 'red green green green green green green': 0, 'red red red red': 1}, 2: {'green green green': 3, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red red': 0}}"
151,37,ward,Jaccard,2,"{1: {'green green green': 0, 'green green green green green green': 0, 'green red red red': 3, 'green red red red red': 5, 'red green green green green green green': 0, 'red red red red': 1}, 2: {'green green green': 3, 'green green green green green green': 1, 'green red red red': 0, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red red': 0}}"
152,38,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 9, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 2, 'green red red red': 0, 'red green green green green green green green': 1, 'red red': 0, 'red red red': 0}}"
153,38,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 2, 'green red red red': 9, 'red green green green green green green green': 1, 'red red': 1, 'red red red': 1}}"
154,38,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 9, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 2, 'green red red red': 0, 'red green green green green green green green': 1, 'red red': 0, 'red red red': 0}}"
